Activity,Method,Precision,Sensitivity,Specificity,Accuracy,F1,MCC,AUC
Anti-MRSA,iAMP-CA2L,0.4,0.023,0.9655,0.4943,0.0435,-0.0344,0.4943
Anti-MRSA,iAMP-RAAC,0.5517,0.1839,0.8506,0.5172,0.2759,0.0463,0.5172
Anti-MRSA,iAMPCN,0.7534,0.6322,0.7931,0.7126,0.6875,0.4309,0.7861
Antibiofilm,AMAP,0.5965,0.4595,0.6892,0.5743,0.5191,0.1527,0.5743
Antibiofilm,iAMP-CA2L,0.8571,0.0811,0.9865,0.5338,0.1481,0.1592,0.5338
Antibiofilm,iAMPCN,0.8243,0.8243,0.8243,0.8243,0.8243,0.6486,0.8667
Chemotactic,AMAP,0.4,0.1429,0.7857,0.4643,0.2105,-0.0933,0.4643
Chemotactic,iAMP-CA2L,0.0,0.0,1.0,0.5,0.0,0.0,0.5
Chemotactic,iAMPCN,1.0,0.5,1.0,0.75,0.6667,0.5774,0.8163
Endotoxin,iAMP-CA2L,0.9167,0.6875,0.9375,0.8125,0.7857,0.6455,0.8125
Endotoxin,iAMPCN,0.7059,0.75,0.6875,0.7188,0.7273,0.4384,0.7617
Insecticidal,AMAP,0.5588,0.2289,0.8193,0.5241,0.3248,0.0597,0.5241
Insecticidal,iAMPCN,0.8514,0.759,0.8675,0.8133,0.8025,0.6302,0.8936
